protoudp,dportWell-known,dportUnspecified,dportRegistered,dportDynamic/Private,sportWell-known,sportUnspecified,sportRegistered,sportDynamic/Private,prototcp,protorarp,protoigmp,protoicmp,protoarp,dur,pkts,bytes,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,1,0,0,0,0,0,0,1,1,0,0,0,0,22.711285,10,1489,6,4,723,766,0.4403097402899043,0.2641858441739426,0.1761238961159617,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.68336,4,240,4,0,240,0,0.5206055683971595,0.5206055683971595,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,6.826758,8,1475,5,3,775,700,1.1718593218039954,0.7324120761274971,0.4394472456764983,1,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1.004797,2,120,1,1,60,60,1.9904518027024365,0.9952259013512182,0.9952259013512182,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.003618,2,120,1,1,60,60,552.791597567717,276.3957987838585,276.3957987838585,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.686877,4,240,4,0,240,0,0.520367374162485,0.520367374162485,0.0,1,2
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.006369,2,120,1,1,60,60,314.0210394096405,157.01051970482024,157.01051970482024,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.248369,4,240,4,0,240,0,0.4849443568783113,0.4849443568783113,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,124.982323,10,2119,6,4,723,1396,0.080011314880105,0.048006788928063,0.032004525952042,1,1
0,1,0,0,0,0,0,1,0,1,0,0,0,0,38.923649,10,1572,6,4,806,766,0.2569132200323767,0.154147932019426,0.1027652880129506,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.235354,2,337,1,1,100,237,8.497837300407046,4.248918650203523,4.248918650203523,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.678673,4,240,4,0,240,0,0.5209233418326318,0.5209233418326318,0.0,1,2
