protoudp,dportWell-known,dportUnspecified,dportRegistered,dportDynamic/Private,sportWell-known,sportUnspecified,sportRegistered,sportDynamic/Private,prototcp,protorarp,protoigmp,protoicmp,protoarp,dur,pkts,bytes,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.000919,2,120,1,1,60,60,2176.278563656148,1088.139281828074,1088.139281828074,1,4
1,0,0,1,0,0,0,1,0,0,0,0,0,0,4.3e-05,1,60,1,0,60,0,23255.81395348837,23255.81395348837,0.0,1,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.137084,2,1209,1,1,70,1139,14.589594701059204,7.294797350529602,7.294797350529602,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.143829,2,227,1,1,76,151,13.905401553233352,6.952700776616676,6.952700776616676,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.004047,2,120,1,1,60,60,494.1932295527551,247.09661477637755,247.09661477637755,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000162,2,120,1,1,60,60,12345.679012345678,6172.839506172839,6172.839506172839,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.239609,4,240,4,0,240,0,0.4854599289844943,0.4854599289844943,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.834966,2,120,2,0,120,0,0.413653374191256,0.413653374191256,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.294063,2,479,1,1,91,388,6.801263674790776,3.400631837395388,3.400631837395388,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.8e-05,2,120,1,1,60,60,41666.66666666666,20833.33333333333,20833.33333333333,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.047987,2,176,2,0,176,0,0.3961975337892114,0.3961975337892114,0.0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,5.7e-05,2,120,1,1,60,60,35087.71929824561,17543.859649122805,17543.859649122805,1,4
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.000247,2,102,1,1,42,60,8097.165991902834,4048.582995951417,4048.582995951417,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.353638,2,120,2,0,120,0,0.849748347027028,0.849748347027028,0.0,1,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.7e-05,1,60,1,0,60,0,17543.859649122805,17543.859649122805,0.0,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.344419,2,120,2,0,120,0,0.8530898273730081,0.8530898273730081,0.0,1,2
0,1,0,0,0,1,0,0,0,1,0,0,0,0,17.047665,758,539692,758,0,539692,0,44.46356729792614,44.46356729792614,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.837385,2,120,2,0,120,0,0.4134465212092897,0.4134465212092897,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.240486,4,240,4,0,240,0,0.4854082635417376,0.4854082635417376,0.0,1,2
0,0,0,0,1,0,0,0,1,1,0,0,0,0,4.8e-05,2,120,1,1,60,60,41666.66666666666,20833.33333333333,20833.33333333333,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,8.6e-05,2,120,1,1,60,60,23255.81395348837,11627.906976744183,11627.906976744183,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.041441,2,176,2,0,176,0,0.3967119718350368,0.3967119718350368,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.352733,2,120,2,0,120,0,0.8500752104042405,0.8500752104042405,0.0,1,2
0,1,0,0,0,0,0,1,0,1,0,0,0,0,46.000626,10,1651,6,4,885,766,0.2173883459759873,0.1304330075855924,0.0869553383903949,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.346954,2,120,2,0,120,0,0.8521683850642151,0.8521683850642151,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,13.926668,10,1498,6,4,732,766,0.7180468436527675,0.4308281061916605,0.287218737461107,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,6.8e-05,2,120,1,1,60,60,29411.76470588236,14705.882352941177,14705.882352941177,1,3
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.6e-05,1,60,1,0,60,0,17857.14285714286,17857.14285714286,0.0,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000207,2,120,1,1,60,60,9661.835748792271,4830.917874396136,4830.917874396136,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.027786,2,120,1,1,60,60,71.97869430648528,35.98934715324264,35.98934715324264,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,8.5e-05,2,120,1,1,60,60,23529.41176470588,11764.70588235294,11764.70588235294,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,8.3e-05,2,120,1,1,60,60,24096.385542168675,12048.192771084336,12048.192771084336,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,68.957718,10,2159,6,4,763,1396,0.1450163997596324,0.0870098398557794,0.0580065599038529,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.7e-05,2,120,1,1,60,60,117647.0588235294,58823.52941176471,58823.52941176471,1,3
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000611,2,120,1,1,60,60,3273.3224222585923,1636.661211129296,1636.661211129296,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.002251,2,120,1,1,60,60,888.4940026654821,444.247001332741,444.247001332741,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,26.898211,10,1755,6,4,989,766,0.3717719368027858,0.2230631620816715,0.1487087747211143,1,1
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.9e-05,1,60,1,0,60,0,16949.15254237288,16949.15254237288,0.0,1,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.5e-05,1,60,1,0,60,0,40000.0,40000.0,0.0,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.2e-05,2,120,1,1,60,60,47619.04761904762,23809.52380952381,23809.52380952381,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.243996,4,240,4,0,240,0,0.4852015939842766,0.4852015939842766,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.249351,4,240,4,0,240,0,0.4848866292633201,0.4848866292633201,0.0,1,2
0,0,1,0,0,0,1,0,0,0,0,0,0,1,6.5e-05,2,120,1,1,60,60,30769.230769230773,15384.615384615388,15384.615384615388,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.3e-05,1,60,1,0,60,0,43478.260869565216,43478.260869565216,0.0,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,54.837177,10,2234,6,4,838,1396,0.1823580378690901,0.1094148227214541,0.072943215147636,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,2.8e-05,2,120,1,1,60,60,71428.57142857143,35714.28571428572,35714.28571428572,1,4
0,1,0,0,0,0,0,1,0,1,0,0,0,0,53.267883,10,1591,6,4,825,766,0.1877303815509244,0.1126382289305546,0.0750921526203697,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,54.820843,10,2276,6,4,880,1396,0.1824123718783383,0.1094474231270029,0.0729649487513353,1,1
0,1,0,0,0,0,0,1,0,1,0,0,0,0,24.531061,10,1596,6,4,830,766,0.4076464527971293,0.2445878716782775,0.1630585811188517,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,22.553164,10,2095,6,4,699,1396,0.4433967668571913,0.2660380601143148,0.1773587067428765,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.681898,4,240,4,0,240,0,0.5207046487729985,0.5207046487729985,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.048058,2,176,2,0,176,0,0.3961919613443427,0.3961919613443427,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.8388,2,120,2,0,120,0,0.4133256179217988,0.4133256179217988,0.0,1,2
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.007206,2,172,1,1,86,86,277.54648903691367,138.77324451845683,138.77324451845683,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1676.120972,5,750,5,0,750,0,0.0029830782404887,0.0029830782404887,0.0,1,4
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.042701,2,172,2,0,172,0,0.396612846964355,0.396612846964355,0.0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,6e-05,1,60,1,0,60,0,16666.666666666668,16666.666666666668,0.0,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.240485,4,240,4,0,240,0,0.4854083224470404,0.4854083224470404,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,36.601746,10,2187,6,4,791,1396,0.2732110102069994,0.1639266061241996,0.1092844040827997,1,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000943,2,120,1,1,60,60,2120.8907741251323,1060.4453870625662,1060.4453870625662,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,91.548637,10,2436,6,4,1040,1396,0.1092315552442359,0.0655389331465415,0.0436926220976943,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,26.747622,10,1788,6,4,1022,766,0.3738650112522153,0.2243190067513291,0.1495460045008861,1,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.183379,2,120,2,0,120,0,0.3858486905935298,0.3858486905935298,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.341247,2,120,2,0,120,0,0.8542456220979674,0.8542456220979674,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,13.941894,10,1508,6,4,742,766,0.7172626617301782,0.4303575970381069,0.2869050646920713,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000153,2,120,1,1,60,60,13071.8954248366,6535.9477124183,6535.9477124183,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.9e-05,1,60,1,0,60,0,34482.75862068965,34482.75862068965,0.0,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000427,2,120,1,1,60,60,4683.840749414519,2341.92037470726,2341.92037470726,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000525,2,120,1,1,60,60,3809.5238095238096,1904.7619047619048,1904.7619047619048,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.837387,2,120,2,0,120,0,0.4134463502713345,0.4134463502713345,0.0,1,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,9e-06,1,60,1,0,60,0,111111.11111111112,111111.11111111112,0.0,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000208,2,120,1,1,60,60,9615.384615384615,4807.692307692308,4807.692307692308,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,7.3e-05,2,120,1,1,60,60,27397.260273972603,13698.6301369863,13698.6301369863,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.354747,2,120,2,0,120,0,0.8493481465312409,0.8493481465312409,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,25.728107,10,1563,6,4,797,766,0.3886799755613578,0.2332079853368147,0.1554719902245431,1,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,7.5e-05,1,60,1,0,60,0,13333.333333333334,13333.333333333334,0.0,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.004169,2,120,1,1,60,60,479.7313504437515,239.86567522187576,239.86567522187576,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000114,2,120,1,1,60,60,17543.859649122805,8771.929824561403,8771.929824561403,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,54.821861,10,2109,6,4,713,1396,0.1824089846202047,0.1094453907721228,0.0729635938480818,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.167155,2,891,1,1,85,806,11.964942717836738,5.982471358918369,5.982471358918369,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,3.7e-05,1,60,1,0,60,0,27027.027027027027,27027.027027027027,0.0,1,3
0,1,0,0,0,0,0,1,0,1,0,0,0,0,4.4e-05,2,120,1,1,60,60,45454.545454545456,22727.272727272728,22727.272727272728,1,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.048029,2,176,2,0,176,0,0.3961942373944365,0.3961942373944365,0.0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000142,2,120,1,1,60,60,14084.50704225352,7042.2535211267605,7042.2535211267605,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.690628,4,240,4,0,240,0,0.5201135719995819,0.5201135719995819,0.0,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,5.2e-05,2,120,1,1,60,60,38461.53846153846,19230.76923076923,19230.76923076923,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.240485,4,240,4,0,240,0,0.4854083224470404,0.4854083224470404,0.0,1,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.7e-05,1,60,1,0,60,0,58823.52941176471,58823.52941176471,0.0,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.0001,2,120,1,1,60,60,20000.0,10000.0,10000.0,1,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.174386,2,120,2,0,120,0,0.3865192894383991,0.3865192894383991,0.0,1,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,7.7e-05,1,60,1,0,60,0,12987.012987012988,12987.012987012988,0.0,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.239595,4,240,4,0,240,0,0.4854607538355951,0.4854607538355951,0.0,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,3e-05,2,120,1,1,60,60,66666.66666666667,33333.333333333336,33333.333333333336,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000129,2,120,1,1,60,60,15503.87596899225,7751.937984496125,7751.937984496125,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,8.7e-05,2,120,1,1,60,60,22988.50574712644,11494.25287356322,11494.25287356322,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.846655,2,120,2,0,120,0,0.4126557388549422,0.4126557388549422,0.0,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,3e-06,2,120,1,1,60,60,666666.6666666666,333333.3333333333,333333.3333333333,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.143696,2,203,1,1,64,139,13.918271907359983,6.959135953679992,6.959135953679992,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,3.6e-05,2,120,1,1,60,60,55555.55555555556,27777.777777777777,27777.777777777777,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.6e-05,2,120,1,1,60,60,125000.0,62500.0,62500.0,1,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.171441,2,120,2,0,120,0,0.3867394020351388,0.3867394020351388,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.346948,2,120,2,0,120,0,0.8521705636426543,0.8521705636426543,0.0,1,2
0,0,1,0,0,0,1,0,0,0,0,0,0,1,5e-06,2,120,1,1,60,60,400000.0,200000.0,200000.0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,91.52729,10,2282,6,4,886,1396,0.1092570314274573,0.0655542188564744,0.0437028125709829,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.047929,2,176,2,0,176,0,0.3962020860436032,0.3962020860436032,0.0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000167,2,120,1,1,60,60,11976.047904191617,5988.023952095808,5988.023952095808,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.351757,2,120,2,0,120,0,0.8504279991512729,0.8504279991512729,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,6.782426,8,1517,5,3,817,700,1.1795189508886643,0.7371993443054152,0.4423196065832491,1,1
1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.5e-05,1,60,1,0,60,0,40000.0,40000.0,0.0,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.04793,2,176,2,0,176,0,0.3962020075555723,0.3962020075555723,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.678683,4,240,4,0,240,0,0.520922663430695,0.520922663430695,0.0,1,2
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.047724,2,176,2,0,176,0,0.3962181767465891,0.3962181767465891,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.685563,4,240,4,0,240,0,0.5204563413246368,0.5204563413246368,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.846655,2,120,2,0,120,0,0.4126557388549422,0.4126557388549422,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.010772,2,947,1,1,92,855,185.6665428889714,92.8332714444857,92.8332714444857,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.144382,2,227,1,1,76,151,13.852142233796457,6.926071116898227,6.926071116898227,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.007615,2,172,1,1,86,86,262.6395272488509,131.31976362442546,131.31976362442546,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,26.85088,10,1663,6,4,897,766,0.3724272724022452,0.2234563634413471,0.1489709089608981,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,9.4e-05,2,120,1,1,60,60,21276.595744680853,10638.297872340429,10638.297872340429,1,3
0,1,0,0,0,0,0,1,0,1,0,0,0,0,4e-05,2,120,1,1,60,60,49999.99999999999,25000.0,25000.0,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.249352,4,240,4,0,240,0,0.4848865704845665,0.4848865704845665,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.200923,2,340,1,1,81,259,9.954062003852222,4.977031001926111,4.977031001926111,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,6.5e-05,2,120,1,1,60,60,30769.230769230773,15384.615384615388,15384.615384615388,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,7.060611,10,1581,6,4,815,766,1.4163080220677786,0.8497848132406671,0.5665232088271115,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.047893,2,176,2,0,176,0,0.396204911633428,0.396204911633428,0.0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,124.955162,10,2304,6,4,908,1396,0.0800287066171784,0.048017223970307,0.0320114826468713,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1e-06,2,120,1,1,60,60,2000000.0,1000000.0,1000000.0,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,15.013359,20,6746,10,10,6086,660,1.332146923283457,0.6660734616417285,0.6660734616417285,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,2.3e-05,2,120,1,1,60,60,86956.52173913043,43478.260869565216,43478.260869565216,1,4
