protoudp,dportWell-known,dportUnspecified,dportRegistered,dportDynamic/Private,sportWell-known,sportUnspecified,sportRegistered,sportDynamic/Private,prototcp,protorarp,protoigmp,protoicmp,protoarp,dur,pkts,bytes,spkts,dpkts,sbytes,dbytes,rate,srate,drate,label,category
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24117,20.0,240.0,20.0,0.0,240.0,0.0,2.4268398783182485,2.4268398783182485,0.0,1,2.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1060019350903882,12.0,13643.691829805995,11.0,1.0,13583.691829805995,60.0,10.84989060079655,9.94573305073017,0.9041575500663792,1,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8e-05,11.0,13583.691829805995,11.0,0.0,13583.691829805995,0.0,141025.64102564103,141025.64102564103,0.0,1,3.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.109377835090388,12.0,13643.691829805995,11.0,1.0,13583.691829805995,60.0,10.816873765124653,9.915467618030933,0.9014061470937208,1,4.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.106079155090388,12.0,13643.691829805995,11.0,1.0,13583.691829805995,60.0,10.849133124671688,9.945038697615711,0.904094427055974,1,4.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.175923,18.0,120.0,18.0,0.0,120.0,0.0,3.477640606322776,3.477640606322776,0.0,1,2.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1060563850903882,12.0,13643.691829805995,11.0,1.0,13583.691829805995,60.0,10.8493564720205,9.945243432685457,0.9041130393350416,1,4.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.106113805090388,12.0,13643.691829805995,11.0,1.0,13583.691829805995,60.0,10.848793265914802,9.944727160421902,0.9040661054929002,1,4.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.180043,18.0,120.0,18.0,0.0,120.0,0.0,3.4748746294190997,3.4748746294190997,0.0,1,2.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852237,18.0,120.0,18.0,0.0,120.0,0.0,3.70962918752732,3.70962918752732,0.0,1,2.0
